a	ˈa
abaixadas	ˌɐbaɪʃˈadɐʃ
abaixaras	ˌɐbaɪʃˈaɾɐʃ
abaixas	ˌɐbˈaɪʃɐʃ
abaixador	ˌɐbaɪʃɐdˈoɹ
abaixarão	ˌɐbaɪʃɐɾˈɐ̃ʊ̃
abaixamento	ˌɐbaɪʃɐmˈeɪŋtʊ
abaixando	ˌɐbaɪʃˈɐ̃ŋdʊ
abaixado	ˌɐbaɪʃˈadʊ
abaixo	ˌɐbˈaɪʃʊ
abaixassem	ˌɐbaɪʃˈaseɪŋ
abaixarem	ˌɐbaɪʃˈaɾeɪŋ
abaixem	ˌɐbˈaɪʃeɪŋ
abaixavam	ˌɐbaɪʃˈavɐ̃ʊ̃
abaixariam	ˌɐbaɪʃɐɾˈiɐ̃ʊ̃
abaixaram	ˌɐbaɪʃˈaɾɐ̃ʊ̃
abaixam	ˌɐbˈaɪʃɐ̃ʊ̃
abaixarei	ˌɐbaɪʃɐɾˈeɪ
abaixei	ˌɐbaɪʃˈeɪ
abaixai	ˌɐbaɪʃˈaɪ
abaixaste	ˌɐbaɪʃˈaʃtɨ
abaixasse	ˌɐbaɪʃˈasɨ
abaixe	ˌɐbˈaɪʃɨ
abaixava	ˌɐbaɪʃˈavɐ
abaixadora	ˌɐbaɪʃɐdˈoɾɐ
abaixaria	ˌɐbaɪʃɐɾˈiɐ
abaixada	ˌɐbaɪʃˈadɐ
abaixara	ˌɐbaɪʃˈaɾɐ
abaixa	ˌɐbˈaɪʃɐ
abaixo	ˌɐbˈaɪʃʊ
abalada	ˌɐbɐlˈadɐ
abaladas	ˌɐbɐlˈadɐʃ
abalançar	ˌɐbɐlɐ̃ŋsˈaɹ
abalançará	ˌɐbɐlˌɐ̃ŋsɐɾˈa
abalançá	ˌɐbɐlɐ̃ŋsˈa
abalançou	ˌɐbɐlɐ̃ŋsˈow
abalançarás	ˌɐbɐlˌɐ̃ŋsɐɾˈaʃ
abalançámos	ˌɐbɐlɐ̃ŋsˈamʊʃ
abalançássemos	ˌɐbɐlɐ̃ŋsˈasɨmʊʃ
abalancemos	ˌɐbɐlɐ̃ŋsˈemʊʃ
abalançaremos	ˌɐbɐlˌɐ̃ŋsɐɾˈemʊʃ
abalançaríamos	ˌɐbɐlˌɐ̃ŋsɐɾˈiɐ̃mʊʃ
abalançávamos	ˌɐbɐlɐ̃ŋsˈavɐmʊʃ
abalançáramos	ˌɐbɐlɐ̃ŋsˈaɾɐmʊʃ
abalançarmos	ˌɐbɐlɐ̃ŋsˈaɾəmʊʃ
abalançamos	ˌɐbɐlɐ̃ŋsˈɐ̃mʊʃ
abalançados	ˌɐbɐlɐ̃ŋsˈadʊʃ
abalançaríeis	ˌɐbɐlˌɐ̃ŋsɐɾˈieɪʃ
abalançáveis	ˌɐbɐlɐ̃ŋsˈaveɪʃ
abalançásseis	ˌɐbɐlɐ̃ŋsˈaseɪʃ
abalançáreis	ˌɐbɐlɐ̃ŋsˈaɾeɪʃ
abalanceis	ˌɐbɐlɐ̃ŋsˈeɪʃ
abalançareis	ˌɐbɐlˌɐ̃ŋsɐɾˈeɪʃ
abalançais	ˌɐbɐlɐ̃ŋsˈaɪʃ
abalançastes	ˌɐbɐlɐ̃ŋsˈaʃtɨʃ
abalançasses	ˌɐbɐlɐ̃ŋsˈasɨʃ
abalançardes	ˌɐbɐlɐ̃ŋsˈaɾədɨʃ
abalances	ˌɐbɐlˈɐ̃ŋsɨʃ
abalançares	ˌɐbɐlɐ̃ŋsˈaɾɨʃ
abalançavas	ˌɐbɐlɐ̃ŋsˈavɐʃ
abalançarias	ˌɐbɐlˌɐ̃ŋsɐɾˈiɐʃ
abalançadas	ˌɐbɐlɐ̃ŋsˈadɐʃ
abalançaras	ˌɐbɐlɐ̃ŋsˈaɾɐʃ
abalanças	ˌɐbɐlˈɐ̃ŋsɐʃ
abalançarão	ˌɐbɐlˌɐ̃ŋsɐɾˈɐ̃ʊ̃
abalançando	ˌɐbɐlɐ̃ŋsˈɐ̃ŋdʊ
abalançado	ˌɐbɐlɐ̃ŋsˈadʊ
abalanço	ˌɐbɐlˈɐ̃ŋsʊ
abalançassem	ˌɐbɐlɐ̃ŋsˈaseɪŋ
abalancem	ˌɐbɐlˈɐ̃ŋseɪŋ
abalançarem	ˌɐbɐlɐ̃ŋsˈaɾeɪŋ
abalançavam	ˌɐbɐlɐ̃ŋsˈavɐ̃ʊ̃
abalançariam	ˌɐbɐlˌɐ̃ŋsɐɾˈiɐ̃ʊ̃
abalançaram	ˌɐbɐlɐ̃ŋsˈaɾɐ̃ʊ̃
abalançam	ˌɐbɐlˈɐ̃ŋsɐ̃ʊ̃
abalancei	ˌɐbɐlɐ̃ŋsˈeɪ
abalançarei	ˌɐbɐlˌɐ̃ŋsɐɾˈeɪ
abalançai	ˌɐbɐlɐ̃ŋsˈaɪ
abalançaste	ˌɐbɐlɐ̃ŋsˈaʃtɨ
abalançasse	ˌɐbɐlɐ̃ŋsˈasɨ
abalance	ˌɐbɐlˈɐ̃ŋsɨ
abalançava	ˌɐbɐlɐ̃ŋsˈavɐ
abalançaria	ˌɐbɐlˌɐ̃ŋsɐɾˈiɐ
abalançada	ˌɐbɐlɐ̃ŋsˈadɐ
abalançara	ˌɐbɐlɐ̃ŋsˈaɾɐ
abalança	ˌɐbɐlˈɐ̃ŋsɐ
abalar	ˌɐbɐlˈaɹ
abalará	ˌɐbɐlɐɾˈa
abalá	ˌɐbɐlˈa
abalou	ˌɐbɐlˈow
abalarás	ˌɐbɐlɐɾˈaʃ
abalámos	ˌɐbɐlˈamʊʃ
abalássemos	ˌɐbɐlˈasɨmʊʃ
abalaremos	ˌɐbɐlɐɾˈemʊʃ
abalemos	ˌɐbɐlˈemʊʃ
abalaríamos	ˌɐbɐlɐɾˈiɐ̃mʊʃ
abalávamos	ˌɐbɐlˈavɐmʊʃ
abaláramos	ˌɐbɐlˈaɾɐmʊʃ
abalarmos	ˌɐbɐlˈaɾəmʊʃ
abalamos	ˌɐbɐlˈɐ̃mʊʃ
abalados	ˌɐbɐlˈadʊʃ
abalaríeis	ˌɐbɐlɐɾˈieɪʃ
abaláveis	ˌɐbɐlˈaveɪʃ
abalásseis	ˌɐbɐlˈaseɪʃ
abaláreis	ˌɐbɐlˈaɾeɪʃ
abalareis	ˌɐbɐlɐɾˈeɪʃ
abaleis	ˌɐbɐlˈeɪʃ
abalais	ˌɐbɐlˈaɪʃ
abalastes	ˌɐbɐlˈaʃtɨʃ
abalasses	ˌɐbɐlˈasɨʃ
abalardes	ˌɐbɐlˈaɾədɨʃ
abalares	ˌɐbɐlˈaɾɨʃ
abales	ˌɐbˈalɨʃ
abalavas	ˌɐbɐlˈavɐʃ
abalarias	ˌɐbɐlɐɾˈiɐʃ
abaladas	ˌɐbɐlˈadɐʃ
abalaras	ˌɐbɐlˈaɾɐʃ
abalas	ˌɐbˈalɐʃ
abalarão	ˌɐbɐlɐɾˈɐ̃ʊ̃
abalando	ˌɐbɐlˈɐ̃ŋdʊ
abalado	ˌɐbɐlˈadʊ
abalo	ˌɐbˈalʊ
abalassem	ˌɐbɐlˈaseɪŋ
abalarem	ˌɐbɐlˈaɾeɪŋ
abalem	ˌɐbˈaleɪŋ
abalavam	ˌɐbɐlˈavɐ̃ʊ̃
abalariam	ˌɐbɐlɐɾˈiɐ̃ʊ̃
abalaram	ˌɐbɐlˈaɾɐ̃ʊ̃
abalam	ˌɐbˈalɐ̃ʊ̃
abalável	ˌɐbɐlˈavˌɛl
abalarei	ˌɐbɐlɐɾˈeɪ
abalei	ˌɐbɐlˈeɪ
abalai	ˌɐbɐlˈaɪ
abalaste	ˌɐbɐlˈaʃtɨ
abalasse	ˌɐbɐlˈasɨ
abale	ˌɐbˈalɨ
abalava	ˌɐbɐlˈavɐ
abalaria	ˌɐbɐlɐɾˈiɐ
abalada	ˌɐbɐlˈadɐ
abalara	ˌɐbɐlˈaɾɐ
abala	ˌɐbˈalɐ
abalizar	ˌɐbɐlizˈaɹ
abalizará	ˌɐbɐlˌizɐɾˈa
abalizá	ˌɐbɐlizˈa
abalizou	ˌɐbɐlizˈow
abalizarás	ˌɐbɐlˌizɐɾˈaʃ
abalizámos	ˌɐbɐlizˈamʊʃ
abalizássemos	ˌɐbɐlizˈasɨmʊʃ
abalizaremos	ˌɐbɐlˌizɐɾˈemʊʃ
abalizemos	ˌɐbɐlizˈemʊʃ
abalizaríamos	ˌɐbɐlˌizɐɾˈiɐ̃mʊʃ
abalizávamos	ˌɐbɐlizˈavɐmʊʃ
abalizáramos	ˌɐbɐlizˈaɾɐmʊʃ
abalizarmos	ˌɐbɐlizˈaɾəmʊʃ
abalizamos	ˌɐbɐlizˈɐ̃mʊʃ
abalizados	ˌɐbɐlizˈadʊʃ
abalizaríeis	ˌɐbɐlˌizɐɾˈieɪʃ
abalizáveis	ˌɐbɐlizˈaveɪʃ
abalizásseis	ˌɐbɐlizˈaseɪʃ
abalizáreis	ˌɐbɐlizˈaɾeɪʃ
abalizareis	ˌɐbɐlˌizɐɾˈeɪʃ
abalizeis	ˌɐbɐlizˈeɪʃ
abalizais	ˌɐbɐlizˈaɪʃ
abalizastes	ˌɐbɐlizˈaʃtɨʃ
abalizasses	ˌɐbɐlizˈasɨʃ
abalizadores	ˌɐbɐlˌizɐdˈoɾɨʃ
abalizardes	ˌɐbɐlizˈaɾədɨʃ
abalizares	ˌɐbɐlizˈaɾɨʃ
abalizes	ˌɐbɐlˈizɨʃ
abalizavas	ˌɐbɐlizˈavɐʃ
abalizadoras	ˌɐbɐlˌizɐdˈoɾɐʃ
abalizarias	ˌɐbɐlˌizɐɾˈiɐʃ
abalizadas	ˌɐbɐlizˈadɐʃ
abalizaras	ˌɐbɐlizˈaɾɐʃ
abalizas	ˌɐbɐlˈizɐʃ
abalizador	ˌɐbɐlˌizɐdˈoɹ
abalizarão	ˌɐbɐlˌizɐɾˈɐ̃ʊ̃
abalizando	ˌɐbɐlizˈɐ̃ŋdʊ
abalizado	ˌɐbɐlizˈadʊ
abalizo	ˌɐbɐlˈizʊ
abalizassem	ˌɐbɐlizˈaseɪŋ
abalizarem	ˌɐbɐlizˈaɾeɪŋ
abalizem	ˌɐbɐlˈizeɪŋ
abalizavam	ˌɐbɐlizˈavɐ̃ʊ̃
abalizariam	ˌɐbɐlˌizɐɾˈiɐ̃ʊ̃
abalizaram	ˌɐbɐlizˈaɾɐ̃ʊ̃
abalizam	ˌɐbɐlˈizɐ̃ʊ̃
abalizarei	ˌɐbɐlˌizɐɾˈeɪ
abalizei	ˌɐbɐlizˈeɪ
abalizai	ˌɐbɐlizˈaɪ
abalizaste	ˌɐbɐlizˈaʃtɨ
abalizasse	ˌɐbɐlizˈasɨ
abalize	ˌɐbɐlˈizɨ
abalizava	ˌɐbɐlizˈavɐ
abalizadora	ˌɐbɐlˌizɐdˈoɾɐ
abalizaria	ˌɐbɐlˌizɐɾˈiɐ
abalizada	ˌɐbɐlizˈadɐ
abalizara	ˌɐbɐlizˈaɾɐ
abaliza	ˌɐbɐlˈizɐ
abalo	ˌɐbˈalʊ
abalos	ˌɐbˈalʊʃ
abalroar	ɐbˌɑlʁuˈaɹ
abalroará	ɐbˌɑlʁuɐɾˈa
abalroá	ɐbˌɑlʁuˈa
abalroou	ɐbˌɑlʁuˈow
abalroarás	ɐbˌɑlʁuɐɾˈaʃ
abalroamentos	ɐbˌɑlʁuɐmˈeɪŋtʊʃ
abalroámos	ɐbˌɑlʁuˈamʊʃ
abalroássemos	ɐbˌɑlʁuˈasɨmʊʃ
abalroaremos	ɐbˌɑlʁuɐɾˈemʊʃ
abalroemos	ɐbˌɑlʁuˈemʊʃ
abalroaríamos	ɐbˌɑlʁuɐɾˈiɐ̃mʊʃ
abalroávamos	ɐbˌɑlʁuˈavɐmʊʃ
abalroáramos	ɐbˌɑlʁuˈaɾɐmʊʃ
abalroarmos	ɐbˌɑlʁuˈaɾəmʊʃ
abalroamos	ɐbˌɑlʁuˈɐ̃mʊʃ
abalroados	ɐbˌɑlʁuˈadʊʃ
abalroaríeis	ɐbˌɑlʁuɐɾˈieɪʃ
abalroáveis	ɐbˌɑlʁuˈaveɪʃ
abalroásseis	ɐbˌɑlʁuˈaseɪʃ
abalroáreis	ɐbˌɑlʁuˈaɾeɪʃ
abalroareis	ɐbˌɑlʁuɐɾˈeɪʃ
abalroeis	ɐbˌɑlʁuˈeɪʃ
abalroais	ɐbˌɑlʁuˈaɪʃ
abalroações	ɐbˌɑlʁuɐsˈõjʃ
abalroastes	ɐbˌɑlʁuˈaʃtɨʃ
abalroasses	ɐbˌɑlʁuˈasɨʃ
abalroardes	ɐbˌɑlʁuˈaɾədɨʃ
abalroares	ɐbˌɑlʁuˈaɾɨʃ
abalroes	ɐbˌɑlʁˈoɨʃ
abalroavas	ɐbˌɑlʁuˈavɐʃ
abalroarias	ɐbˌɑlʁuɐɾˈiɐʃ
abalroadas	ɐbˌɑlʁuˈadɐʃ
abalroaras	ɐbˌɑlʁuˈaɾɐʃ
abalroas	ɐbˌɑlʁˈoɐʃ
abalroação	ɐbˌɑlʁuɐsˈɐ̃ʊ̃
abalroarão	ɐbˌɑlʁuɐɾˈɐ̃ʊ̃
abalroamento	ɐbˌɑlʁuɐmˈeɪŋtʊ
abalroando	ɐbˌɑlʁuˈɐ̃ŋdʊ
abalroado	ɐbˌɑlʁuˈadʊ
abalroo	ɐbˌɑlʁˈow
abalroassem	ɐbˌɑlʁuˈaseɪŋ
abalroarem	ɐbˌɑlʁuˈaɾeɪŋ
abalroem	ɐbˌɑlʁˈoeɪŋ
abalroavam	ɐbˌɑlʁuˈavɐ̃ʊ̃
abalroariam	ɐbˌɑlʁuɐɾˈiɐ̃ʊ̃
abalroaram	ɐbˌɑlʁuˈaɾɐ̃ʊ̃
abalroam	ɐbˌɑlʁˈoɐ̃ʊ̃
abalroarei	ɐbˌɑlʁuɐɾˈeɪ
abalroei	ɐbˌɑlʁuˈeɪ
abalroai	ɐbˌɑlʁuˈaɪ
abalroaste	ɐbˌɑlʁuˈaʃtɨ
abalroasse	ɐbˌɑlʁuˈasɨ
abalroe	ɐbˌɑlʁˈoɨ
abalroava	ɐbˌɑlʁuˈavɐ
abalroaria	ɐbˌɑlʁuɐɾˈiɐ
abalroada	ɐbˌɑlʁuˈadɐ
abalroara	ɐbˌɑlʁuˈaɾɐ
abalroa	ɐbˌɑlʁˈoɐ
abanadela	ˌɐbɐnɐdˈɛlɐ
abanadelas	ˌɐbɐnɐdˈelɐʃ
abanadura	ˌɐbɐnɐdˈuɾɐ
abanaduras	ˌɐbɐnɐdˈuɾɐʃ
abananado	ˌɐbɐnɐnˈadʊ
abananadas	ˌɐbɐnɐnˈadɐʃ
abananados	ˌɐbɐnɐnˈadʊʃ
abananada	ˌɐbɐnɐnˈadɐ
abanão	ˌɐbɐnˈɐ̃ʊ̃
abanões	ˌɐbɐnˈõjʃ
abanar	ˌɐbɐnˈaɹ
abanará	ˌɐbɐnɐɾˈa
abaná	ˌɐbɐ̃nˈa
abanou	ˌɐbɐnˈow
abanarás	ˌɐbɐnɐɾˈaʃ
abanámos	ˌɐbɐnˈamʊʃ
abanássemos	ˌɐbɐnˈasɨmʊʃ
abanaremos	ˌɐbɐnɐɾˈemʊʃ
abanemos	ˌɐbɐnˈemʊʃ
abanaríamos	ˌɐbɐnɐɾˈiɐ̃mʊʃ
abanávamos	ˌɐbɐnˈavɐmʊʃ
abanáramos	ˌɐbɐnˈaɾɐmʊʃ
abanarmos	ˌɐbɐnˈaɾəmʊʃ
abanamos	ˌɐbɐnˈɐ̃mʊʃ
abanados	ˌɐbɐnˈadʊʃ
abanaríeis	ˌɐbɐnɐɾˈieɪʃ
abanáveis	ˌɐbɐnˈaveɪʃ
abanásseis	ˌɐbɐnˈaseɪʃ
abanáreis	ˌɐbɐnˈaɾeɪʃ
abanareis	ˌɐbɐnɐɾˈeɪʃ
abaneis	ˌɐbɐnˈeɪʃ
abanais	ˌɐbɐnˈaɪʃ
abanastes	ˌɐbɐnˈaʃtɨʃ
abanasses	ˌɐbɐnˈasɨʃ
abanadores	ˌɐbɐnɐdˈoɾɨʃ
abanardes	ˌɐbɐnˈaɾədɨʃ
abanares	ˌɐbɐnˈaɾɨʃ
abanes	ˌɐbˈɐ̃nɨʃ
abanavas	ˌɐbɐnˈavɐʃ
abanadoras	ˌɐbɐnɐdˈoɾɐʃ
abanarias	ˌɐbɐnɐɾˈiɐʃ
abanadas	ˌɐbɐnˈadɐʃ
abanaras	ˌɐbɐnˈaɾɐʃ
abanas	ˌɐbˈɐ̃nɐʃ
abanador	ˌɐbɐnɐdˈoɹ
abanarão	ˌɐbɐnɐɾˈɐ̃ʊ̃
abanando	ˌɐbɐnˈɐ̃ŋdʊ
abanado	ˌɐbɐnˈadʊ
abano	ˌɐbˈɐ̃nʊ
abanassem	ˌɐbɐnˈaseɪŋ
abanarem	ˌɐbɐnˈaɾeɪŋ
abanem	ˌɐbˈɐ̃neɪŋ
abanavam	ˌɐbɐnˈavɐ̃ʊ̃
abanariam	ˌɐbɐnɐɾˈiɐ̃ʊ̃
abanaram	ˌɐbɐnˈaɾɐ̃ʊ̃
abanam	ˌɐbˈɐ̃nɐ̃ʊ̃
abanarei	ˌɐbɐnɐɾˈeɪ
abanei	ˌɐbɐnˈeɪ
abanai	ˌɐbɐnˈaɪ
abanaste	ˌɐbɐnˈaʃtɨ
abanasse	ˌɐbɐnˈasɨ
abane	ˌɐbˈɐ̃nɨ
abanava	ˌɐbɐnˈavɐ
abanadora	ˌɐbɐnɐdˈoɾɐ
abanaria	ˌɐbɐnɐɾˈiɐ
abanada	ˌɐbɐnˈadɐ
abanara	ˌɐbɐnˈaɾɐ
abana	ˌɐbˈɐ̃nɐ
abandonar	ˌɐbɐ̃ŋdunˈaɹ
abandonará	ˌɐbɐ̃ŋdˌunɐɾˈa
abandoná	ˌɐbɐ̃ŋdunˈa
abandonou	ˌɐbɐ̃ŋdunˈow
abandonarás	ˌɐbɐ̃ŋdˌunɐɾˈaʃ
abandonamentos	ˌɐbɐ̃ŋdˌunɐmˈeɪŋtʊʃ
abandonámos	ˌɐbɐ̃ŋdunˈamʊʃ
abandonássemos	ˌɐbɐ̃ŋdunˈasɨmʊʃ
abandonaremos	ˌɐbɐ̃ŋdˌunɐɾˈemʊʃ
abandonemos	ˌɐbɐ̃ŋdunˈemʊʃ
abandonaríamos	ˌɐbɐ̃ŋdˌunɐɾˈiɐ̃mʊʃ
abandonávamos	ˌɐbɐ̃ŋdunˈavɐmʊʃ
abandonáramos	ˌɐbɐ̃ŋdunˈaɾɐmʊʃ
abandonarmos	ˌɐbɐ̃ŋdunˈaɾəmʊʃ
abandonamos	ˌɐbɐ̃ŋdunˈɐ̃mʊʃ
abandonados	ˌɐbɐ̃ŋdunˈadʊʃ
abandonaríeis	ˌɐbɐ̃ŋdˌunɐɾˈieɪʃ
abandonáveis	ˌɐbɐ̃ŋdunˈaveɪʃ
abandonásseis	ˌɐbɐ̃ŋdunˈaseɪʃ
abandonáreis	ˌɐbɐ̃ŋdunˈaɾeɪʃ
abandonareis	ˌɐbɐ̃ŋdˌunɐɾˈeɪʃ
abandoneis	ˌɐbɐ̃ŋdunˈeɪʃ
abandonais	ˌɐbɐ̃ŋdunˈaɪʃ
abandonastes	ˌɐbɐ̃ŋdunˈaʃtɨʃ
abandonasses	ˌɐbɐ̃ŋdunˈasɨʃ
abandonardes	ˌɐbɐ̃ŋdunˈaɾədɨʃ
abandonares	ˌɐbɐ̃ŋdunˈaɾɨʃ
abandones	ˌɐbɐ̃ŋdˈonɨʃ
abandonavas	ˌɐbɐ̃ŋdunˈavɐʃ
abandonarias	ˌɐbɐ̃ŋdˌunɐɾˈiɐʃ
abandonadas	ˌɐbɐ̃ŋdunˈadɐʃ
abandonaras	ˌɐbɐ̃ŋdunˈaɾɐʃ
abandonas	ˌɐbɐ̃ŋdˈonɐʃ
abandonarão	ˌɐbɐ̃ŋdˌunɐɾˈɐ̃ʊ̃
abandonamento	ˌɐbɐ̃ŋdˌunɐmˈeɪŋtʊ
abandonando	ˌɐbɐ̃ŋdunˈɐ̃ŋdʊ
abandonado	ˌɐbɐ̃ŋdunˈadʊ
abandono	ˌɐbɐ̃ŋdˈonʊ
abandonassem	ˌɐbɐ̃ŋdunˈaseɪŋ
abandonarem	ˌɐbɐ̃ŋdunˈaɾeɪŋ
abandonem	ˌɐbɐ̃ŋdˈoneɪŋ
abandonavam	ˌɐbɐ̃ŋdunˈavɐ̃ʊ̃
abandonariam	ˌɐbɐ̃ŋdˌunɐɾˈiɐ̃ʊ̃
abandonaram	ˌɐbɐ̃ŋdunˈaɾɐ̃ʊ̃
abandonam	ˌɐbɐ̃ŋdˈonɐ̃ʊ̃
abandonável	ˌɐbɐ̃ŋdunˈavˌɛl
abandonarei	ˌɐbɐ̃ŋdˌunɐɾˈeɪ
abandonei	ˌɐbɐ̃ŋdunˈeɪ
abandonai	ˌɐbɐ̃ŋdunˈaɪ
abandonaste	ˌɐbɐ̃ŋdunˈaʃtɨ
abandonasse	ˌɐbɐ̃ŋdunˈasɨ
abandone	ˌɐbɐ̃ŋdˈonɨ
abandonava	ˌɐbɐ̃ŋdunˈavɐ
abandonaria	ˌɐbɐ̃ŋdˌunɐɾˈiɐ
abandonada	ˌɐbɐ̃ŋdunˈadɐ
abandonara	ˌɐbɐ̃ŋdunˈaɾɐ
abandona	ˌɐbɐ̃ŋdˈonɐ
abandono	ˌɐbɐ̃ŋdˈonʊ
abandonos	ˌɐbɐ̃ŋdˈonʊʃ
abanico	ˌɐbɐnˈikʊ
abanicos	ˌɐbɐnˈikʊʃ
abano	ˌɐbˈɐ̃nʊ
abanos	ˌɐbˈɐ̃nʊʃ
abantesma	ˌɐbɐ̃ŋtˈeʒmɐ
abantesmas	ˌɐbɐ̃ŋtˈeʒmɐʃ
abarca	ˌɐbˈaɾəkɐ
abarcante	ˌɐbɐɾəkˈɐ̃ŋtɨ
