a	'a
abandonarmos	,&b&~Ndun'a*@-mUs#
abandonamos	,&b&~Ndun'&~mUs#
abandonados	,&b&~Ndun'adUs#
abandonaríeis	,&b&~Nd,un&*'i;eIs#
abandonáveis	,&b&~Ndun'aveIs#
abandonásseis	,&b&~Ndun'aseIs#
abandonáreis	,&b&~Ndun'a*eIs#
abandonareis	,&b&~Nd,un&*'eIs#
abandoneis	,&b&~Ndun'eIs#
abandonais	,&b&~Ndun'aIs#
abandonastes	,&b&~Ndun'as#tys#
abandonasses	,&b&~Ndun'asys#
abandonardes	,&b&~Ndun'a*@-dys#
abandonares	,&b&~Ndun'a*ys#
abandones	,&b&~Nd'onys#
abandonavas	,&b&~Ndun'av&s#
abandonarias	,&b&~Nd,un&*'i;&s#
abandonadas	,&b&~Ndun'ad&s#
abandonaras	,&b&~Ndun'a*&s#
abandonas	,&b&~Nd'on&s#
abandonarão	,&b&~Nd,un&*'&U~
abandonamento	,&b&~Nd,un&m'eINtU
abandonando	,&b&~Ndun'&~NdU
abandonado	,&b&~Ndun'adU
abandono	,&b&~Nd'onU
abandonassem	,&b&~Ndun'aseIN
abandonarem	,&b&~Ndun'a*eIN
abandonem	,&b&~Nd'oneIN
abandonavam	,&b&~Ndun'av&U~
abandonariam	,&b&~Nd,un&*'i;&U~
abandonaram	,&b&~Ndun'a*&U~
abandonam	,&b&~Nd'on&U~
abandonável	,&b&~Ndun'av,El
abandonarei	,&b&~Nd,un&*'eI
abandonei	,&b&~Ndun'eI
abandonai	,&b&~Ndun'aI
abandonaste	,&b&~Ndun'as#ty
abandonasse	,&b&~Ndun'asy
abandone	,&b&~Nd'ony
abandonava	,&b&~Ndun'av&
abandonaria	,&b&~Nd,un&*'i;&
abandonada	,&b&~Ndun'ad&
abandonara	,&b&~Ndun'a*&
abandona	,&b&~Nd'on&
abandono	,&b&~Nd'onU
abandonos	,&b&~Nd'onUs#
abanico	,&b&n'ikU
abanicos	,&b&n'ikUs#
abano	,&b'&~nU
abanos	,&b'&~nUs#
abantesma	,&b&~Nt'eZm&
abantesmas	,&b&~Nt'eZm&s#
abarca	,&b'a*@-k&
abarcante	,&b&*@-k'&~Nty
abarcantes	,&b&*@-k'&~Ntys#
abarcar	,&b&*@-k'ar-
abarcará	,&b&*@-k&*'a
abarcá	,&b&*@-k'a
abarcou	,&b&*@-k'ow
abarcarás	,&b&*@-k&*'as#
abarcamentos	,&b&*@-k&m'eINtUs#
abarcámos	,&b&*@-k'amUs#
abarquemos	,&b&*@-k'emUs#
abarcássemos	,&b&*@-k'asymUs#
abarcaremos	,&b&*@-k&*'emUs#
abarcaríamos	,&b&*@-k&*'i;&~mUs#
abarcávamos	,&b&*@-k'av&mUs#
abarcáramos	,&b&*@-k'a*&mUs#
abarcarmos	,&b&*@-k'a*@-mUs#
abarcamos	,&b&*@-k'&~mUs#
abarcados	,&b&*@-k'adUs#
abarcaríeis	,&b&*@-k&*'i;eIs#
abarcáveis	,&b&*@-k'aveIs#
abarqueis	,&b&*@-k'eIs#
abarcásseis	,&b&*@-k'aseIs#
abarcáreis	,&b&*@-k'a*eIs#
abarcareis	,&b&*@-k&*'eIs#
abarcais	,&b&*@-k'aIs#
abarques	,&b'a*@-kys#
abarcastes	,&b&*@-k'as#tys#
abarcantes	,&b&*@-k'&~Ntys#
abarcasses	,&b&*@-k'asys#
abarcadores	,&b&*@-k&d'o*ys#
abarcardes	,&b&*@-k'a*@-dys#
abarcares	,&b&*@-k'a*ys#
abarcavas	,&b&*@-k'av&s#
abarcadoras	,&b&*@-k&d'o*&s#
abarcarias	,&b&*@-k&*'i;&s#
abarcadas	,&b&*@-k'ad&s#
abarcaras	,&b&*@-k'a*&s#
abarcas	,&b'a*@-k&s#
abarcador	,&b&*@-k&d'or-
abarcarão	,&b&*@-k&*'&U~
abarcamento	,&b&*@-k&m'eINtU
abarcando	,&b&*@-k'&~NdU
abarcado	,&b&*@-k'adU
abarco	,&b'a*@-kU
abarquem	,&b'a*@-keIN
abarcassem	,&b&*@-k'aseIN
abarcarem	,&b&*@-k'a*eIN
abarcavam	,&b&*@-k'av&U~
abarcariam	,&b&*@-k&*'i;&U~
abarcaram	,&b&*@-k'a*&U~
abarcam	,&b'a*@-k&U~
abarquei	,&b&*@-k'eI
abarcarei	,&b&*@-k&*'eI
abarcai	,&b&*@-k'aI
abarque	,&b'a*@-ky
abarcaste	,&b&*@-k'as#ty
abarcante	,&b&*@-k'&~Nty
abarcasse	,&b&*@-k'asy
abarcava	,&b&*@-k'av&
abarcadora	,&b&*@-k&d'o*&
abarcaria	,&b&*@-k&*'i;&
abarcada	,&b&*@-k'ad&
abarcara	,&b&*@-k'a*&
abarca	,&b'a*@-k&
abarrotar	,&b&xut'ar-
abarrotará	,&b&x,ut&*'a
abarrotá	,&b&xut'a
abarrotou	,&b&xut'ow
abarrotarás	,&b&x,ut&*'as#
abarrotamentos	,&b&x,ut&m'eINtUs#
abarrotámos	,&b&xut'amUs#
abarrotássemos	,&b&xut'asymUs#
abarrotaremos	,&b&x,ut&*'emUs#
abarrotemos	,&b&xut'emUs#
abarrotaríamos	,&b&x,ut&*'i;&~mUs#
abarrotávamos	,&b&xut'av&mUs#
abarrotáramos	,&b&xut'a*&mUs#
abarrotarmos	,&b&xut'a*@-mUs#
abarrotamos	,&b&xut'&~mUs#
abarrotados	,&b&xut'adUs#
abarrotaríeis	,&b&x,ut&*'i;eIs#
abarrotáveis	,&b&xut'aveIs#
abarrotásseis	,&b&xut'aseIs#
abarrotáreis	,&b&xut'a*eIs#
abarrotareis	,&b&x,ut&*'eIs#
abarroteis	,&b&xut'eIs#
abarrotais	,&b&xut'aIs#
abarrotastes	,&b&xut'as#tys#
abarrotasses	,&b&xut'asys#
abarrotardes	,&b&xut'a*@-dys#
abarrotares	,&b&xut'a*ys#
abarrotes	,&b&x'otys#
abarrotavas	,&b&xut'av&s#
abarrotarias	,&b&x,ut&*'i;&s#
abarrotadas	,&b&xut'ad&s#
abarrotaras	,&b&xut'a*&s#
abarrotas	,&b&x'ot&s#
abarrotarão	,&b&x,ut&*'&U~
abarrotamento	,&b&x,ut&m'eINtU
abarrotando	,&b&xut'&~NdU
abarrotado	,&b&xut'adU
abarroto	,&b&x'OtU
abarrotassem	,&b&xut'aseIN
abarrotarem	,&b&xut'a*eIN
abarrotem	,&b&x'OteIN
abarrotavam	,&b&xut'av&U~
abarrotariam	,&b&x,ut&*'i;&U~
abarrotaram	,&b&xut'a*&U~
abarrotam	,&b&x'Ot&U~
abarrotarei	,&b&x,ut&*'eI
abarrotei	,&b&xut'eI
abarrotai	,&b&xut'aI
abarrotaste	,&b&xut'as#ty
abarrotasse	,&b&xut'asy
abarrote	,&b&x'Oty
abarrotava	,&b&xut'av&
abarrotaria	,&b&x,ut&*'i;&
abarrotada	,&b&xut'ad&
abarrotara	,&b&xut'a*&
abarrota	,&b&x'Ot&
abastança	,&b&s#t'&~Ns&
abastar	,&b&s#t'ar-
abastará	,&b&s#t&*'a
abastá	,&b&s#t'a
abastou	,&b&s#t'ow
abastarás	,&b&s#t&*'as#
abastamentos	,&b&s#t&m'eINtUs#
abastámos	,&b&s#t'amUs#
abastássemos	,&b&s#t'asymUs#
abastaremos	,&b&s#t&*'emUs#
abastemos	,&b&s#t'emUs#
abastaríamos	,&b&s#t&*'i;&~mUs#
abastávamos	,&b&s#t'av&mUs#
abastáramos	,&b&s#t'a*&mUs#
abastarmos	,&b&s#t'a*@-mUs#
abastamos	,&b&s#t'&~mUs#
abastados	,&b&s#t'adUs#
abastaríeis	,&b&s#t&*'i;eIs#
abastáveis	,&b&s#t'aveIs#
abastásseis	,&b&s#t'aseIs#
abastáreis	,&b&s#t'a*eIs#
abastareis	,&b&s#t&*'eIs#
abasteis	,&b&s#t'eIs#
abastais	,&b&s#t'aIs#
abastastes	,&b&s#t'as#tys#
abastasses	,&b&s#t'asys#
abastardes	,&b&s#t'a*@-dys#
abastares	,&b&s#t'a*ys#
abastes	,&b'as#tys#
abastavas	,&b&s#t'av&s#
abastarias	,&b&s#t&*'i;&s#
abastadas	,&b&s#t'ad&s#
abastaras	,&b&s#t'a*&s#
abastas	,&b'as#t&s#
abastarão	,&b&s#t&*'&U~
abastamento	,&b&s#t&m'eINtU
abastando	,&b&s#t'&~NdU
abastado	,&b&s#t'adU
abasto	,&b'as#tU
abastassem	,&b&s#t'aseIN
abastarem	,&b&s#t'a*eIN
abastem	,&b'as#teIN
abastavam	,&b&s#t'av&U~
abastariam	,&b&s#t&*'i;&U~
abastaram	,&b&s#t'a*&U~
abastam	,&b'as#t&U~
abastarei	,&b&s#t&*'eI
abastei	,&b&s#t'eI
abastai	,&b&s#t'aI
abastaste	,&b&s#t'as#ty
abastasse	,&b&s#t'asy
abaste	,&b'as#ty
abastava	,&b&s#t'av&
abastaria	,&b&s#t&*'i;&
abastada	,&b&s#t'ad&
abastara	,&b&s#t'a*&
abasta	,&b'as#t&
abastardar	,&b&s#t&*@-d'ar-
abastardará	,&b&s#t,&*@-d&*'a
abastardá	,&b&s#t&*@-d'a
abastardou	,&b&s#t&*@-d'ow
abastardarás	,&b&s#t,&*@-d&*'as#
abastardamentos	,&b&s#t,&*@-d&m'eINtUs#
abastardámos	,&b&s#t&*@-d'amUs#
abastardássemos	,&b&s#t&*@-d'asymUs#
abastardaremos	,&b&s#t,&*@-d&*'emUs#
abastardemos	,&b&s#t&*@-d'emUs#
abastardaríamos	,&b&s#t,&*@-d&*'i;&~mUs#
abastardávamos	,&b&s#t&*@-d'av&mUs#
abastardáramos	,&b&s#t&*@-d'a*&mUs#
abastardarmos	,&b&s#t&*@-d'a*@-mUs#
abastardamos	,&b&s#t&*@-d'&~mUs#
abastardados	,&b&s#t&*@-d'adUs#
abastardaríeis	,&b&s#t,&*@-d&*'i;eIs#
abastardáveis	,&b&s#t&*@-d'aveIs#
abastardásseis	,&b&s#t&*@-d'aseIs#
abastardáreis	,&b&s#t&*@-d'a*eIs#
abastardareis	,&b&s#t,&*@-d&*'eIs#
abastardeis	,&b&s#t&*@-d'eIs#
abastardais	,&b&s#t&*@-d'aIs#
abastardastes	,&b&s#t&*@-d'as#tys#
abastardasses	,&b&s#t&*@-d'asys#
abastardardes	,&b&s#t&*@-d'a*@-dys#
abastardares	,&b&s#t&*@-d'a*ys#
abastardes	,&b&s#t'a*@-dys#
abastardavas	,&b&s#t&*@-d'av&s#
abastardarias	,&b&s#t,&*@-d&*'i;&s#
abastardadas	,&b&s#t&*@-d'ad&s#
abastardaras	,&b&s#t&*@-d'a*&s#
abastardas	,&b&s#t'a*@-d&s#
abastardarão	,&b&s#t,&*@-d&*'&U~
abastardamento	,&b&s#t,&*@-d&m'eINtU
abastardando	,&b&s#t&*@-d'&~NdU
abastardado	,&b&s#t&*@-d'adU
abastardo	,&b&s#t'a*@-dU
abastardassem	,&b&s#t&*@-d'aseIN
abastardarem	,&b&s#t&*@-d'a*eIN
abastardem	,&b&s#t'a*@-deIN
abastardavam	,&b&s#t&*@-d'av&U~
abastardariam	,&b&s#t,&*@-d&*'i;&U~
abastardaram	,&b&s#t&*@-d'a*&U~
abastardam	,&b&s#t'a*@-d&U~
abastardarei	,&b&s#t,&*@-d&*'eI
abastardei	,&b&s#t&*@-d'eI
abastardai	,&b&s#t&*@-d'aI
abastardaste	,&b&s#t&*@-d'as#ty
abastardasse	,&b&s#t&*@-d'asy
abastarde	,&b&s#t'a*@-dy
abastardava	,&b&s#t&*@-d'av&
abastardaria	,&b&s#t,&*@-d&*'i;&
abastardada	,&b&s#t&*@-d'ad&
abastardara	,&b&s#t&*@-d'a*&
abastarda	,&b&s#t'a*@-d&
