aberrantemente	ˌabexˌɐ̃ŋtemˈeɪŋtʃɪ	ˌabexɐ̃ŋtʃɪmˈeɪŋtʃɪ
ansiosamente	ˌɐ̃ŋsiˌozɐmˈeɪŋtʃɪ	ˌɐ̃ŋsiɔzɐmˈeɪŋtʃɪ
antidesportivamente	ˌɐ̃ŋtʃidˌespoɾtʃˌivɐmˈeɪŋtʃɪ	ˌɐ̃ŋtʃidˌespoɾtʃivɐmˈeɪŋtʃɪ
antirreligiosamente	ˌɐ̃ŋtʃixˌeliʒˌiozɐmˈeɪŋtʃɪ	ˌɐ̃ŋtʃixˌeliʒˌiɔzɐmˈeɪŋtʃɪ
antirrevolucionariamente	ˌɐ̃ŋtʃixˌevolˌusɪˌonaɾˌiɐmˈeɪŋtʃɪ	ˌɐ̃ŋtʃixˌevolˌusɪˌonaɾiɐmˈeɪŋtʃɪ
aparentemente	ˌapaɾˌeɪŋtemˈeɪŋtʃɪ	ˌapaɾeɪŋtʃɪmˈeɪŋtʃɪ
apaticamente	ˌapatʃˌikɐmˈeɪŋtʃɪ	ˌapatʃikɐmˈeɪŋtʃɪ
apertadamente	ˌapeɾtˌadɐmˈeɪŋtʃɪ	ˌapeɾtadɐmˈeɪŋtʃɪ
aplicadamente	ˌaplikˌadɐmˈeɪŋtʃɪ	ˌaplikadɐmˈeɪŋtʃɪ
apressadamente	ˌapɾesˌadɐmˈeɪŋtʃɪ	ˌapɾesadɐmˈeɪŋtʃɪ
ardentemente	ˌaɾdeɪŋtemˈeɪŋtʃɪ	ˌaɾdeɪŋtʃɪmˈeɪŋtʃɪ
ardilosamente	ˌaɾdʒilˌozɐmˈeɪŋtʃɪ	ˌaɾdʒilɔzɐmˈeɪŋtʃɪ
argumentativamente	ˌaɾɡumˌeɪŋtatʃˌivɐmˈeɪŋtʃɪ	ˌaɾɡumˌeɪŋtatʃivɐmˈeɪŋtʃɪ
arriscadamente	ˌaxiskˌadɐmˈeɪŋtʃɪ	ˌaxiskadɐmˈeɪŋtʃɪ
arrogantemente	ˌaxoɡˌɐ̃ŋtemˈeɪŋtʃɪ	ˌaxoɡɐ̃ŋtʃɪmˈeɪŋtʃɪ
arrojadamente	ˌaxoʒˌadɐmˈeɪŋtʃɪ	ˌaxoʒadɐmˈeɪŋtʃɪ
artesanalmente	ˌaɾtezˌɐnaʊmˈeɪŋtʃɪ	ˌaɾtezˌɐ̃naʊmˈeɪŋtʃɪ
artisticamente	ˌaɾtʃistʃˌikɐmˈeɪŋtʃɪ	ˌaɾtʃistʃikɐmˈeɪŋtʃɪ
asperamente	ˌaspeɾɐmˈeɪŋtʃɪ	ˌaspɛɾɐmˈeɪŋtʃɪ
asseadamente	ˌaseˌadɐmˈeɪŋtʃɪ	ˌaseadɐmˈeɪŋtʃɪ
assertivamente	ˌaseɾtʃˌivɐmˈeɪŋtʃɪ	ˌaseɾtʃivɐmˈeɪŋtʃɪ
assiduamente	ˌasidˌuɐmˈeɪŋtʃɪ	ˌasiduɐmˈeɪŋtʃɪ
assincronamente	ˌasiŋkɾˌonɐmˈeɪŋtʃɪ	ˌasiŋkɾonɐmˈeɪŋtʃɪ
assistematicamente	ˌasistˌematʃˌikɐmˈeɪŋtʃɪ	ˌasistˌematʃikɐmˈeɪŋtʃɪ
assumidamente	ˌasumˌidɐmˈeɪŋtʃɪ	ˌasumidɐmˈeɪŋtʃɪ
astuciosamente	ˌastusˌiozɐmˈeɪŋtʃɪ	ˌastusˌiɔzɐmˈeɪŋtʃɪ
atabalhoadamente	ˌatabˌaʎoˌadɐmˈeɪŋtʃɪ	ˌatabˌaʎoadɐmˈeɪŋtʃɪ
atempadamente	ˌateɪmpˌadɐmˈeɪŋtʃɪ	ˌateɪmpadɐmˈeɪŋtʃɪ
atenciosamente	ˌateɪŋsˌiozɐmˈeɪŋtʃɪ	ˌateɪŋsˌiɔzɐmˈeɪŋtʃɪ
atrevidamente	ˌatɾevˌidɐmˈeɪŋtʃɪ	ˌatɾevidɐmˈeɪŋtʃɪ
audaciosamente	ˌaʊdasˌiozɐmˈeɪŋtʃɪ	ˌaʊdasˌiɔzɐmˈeɪŋtʃɪ
audazmente	ˌaʊdazmˈeɪŋtʃɪ	ˌaʊdasmˈeɪŋtʃɪ
autenticamente	ˌaʊteɪŋtʃˌikɐmˈeɪŋtʃɪ	ˌaʊteɪŋtʃikɐmˈeɪŋtʃɪ
autonomamente	ˌaʊtonˌomɐmˈeɪŋtʃɪ	ˌaʊtonomɐmˈeɪŋtʃɪ
aventurosamente	ˌaveɪŋtˌuɾozɐmˈeɪŋtʃɪ	ˌaveɪŋtˌuɾɔzɐmˈeɪŋtʃɪ
avessamente	ˌavesɐmˈeɪŋtʃɪ	ˌavɛsɐmˈeɪŋtʃɪ
axiomaticamente	ˌaksiˌomatʃˌikɐmˈeɪŋtʃɪ	ˌaksiˌomatʃikɐmˈeɪŋtʃɪ
azaradamente	ˌazaɾˌadɐmˈeɪŋtʃɪ	ˌazaɾadɐmˈeɪŋtʃɪ
banalmente	bˌɐnaʊmˈeɪŋtʃɪ	bˌɐ̃naʊmˈeɪŋtʃɪ
belamente	bˌelɐmˈeɪŋtʃɪ	bɛlɐmˈeɪŋtʃɪ
beneficamente	bˌenefˌikɐmˈeɪŋtʃɪ	bˌenefikɐmˈeɪŋtʃɪ
biunivocamente	bjˌunivˌokɐmˈeɪŋtʃɪ	bjˌunivɔkɐmˈeɪŋtʃɪ
boamente	bˌoɐmˈeɪŋtʃɪ	boɐmˈeɪŋtʃɪ
bondosamente	bˌoŋdozɐmˈeɪŋtʃɪ	bˌoŋdɔzɐmˈeɪŋtʃɪ
brandamente	bɾˌɐ̃ŋdɐmˈeɪŋtʃɪ	bɾɐ̃ŋdɐmˈeɪŋtʃɪ
bravamente	bɾˌavɐmˈeɪŋtʃɪ	bɾavɐmˈeɪŋtʃɪ
brevemente	bɾˌevemˈeɪŋtʃɪ	bɾɛvɪmˈeɪŋtʃɪ
brilhantemente	bɾˌiʎɐ̃ŋtemˈeɪŋtʃɪ	bɾˌiʎɐ̃ŋtʃɪmˈeɪŋtʃɪ
bruscamente	bɾˌuskɐmˈeɪŋtʃɪ	bɾuskɐmˈeɪŋtʃɪ
calculadamente	kˌaʊkulˌadɐmˈeɪŋtʃɪ	kˌaʊkuladɐmˈeɪŋtʃɪ
calmamente	kˌaʊmɐmˈeɪŋtʃɪ	kaʊmɐmˈeɪŋtʃɪ
calorosamente	kˌaloɾˌozɐmˈeɪŋtʃɪ	kˌaloɾɔzɐmˈeɪŋtʃɪ
canonicamente	kˌɐnonˌikɐmˈeɪŋtʃɪ	kˌɐnonikɐmˈeɪŋtʃɪ
capazmente	kˌapazmˈeɪŋtʃɪ	kˌapasmˈeɪŋtʃɪ
caprichosamente	kˌapɾiʃˌozɐmˈeɪŋtʃɪ	kˌapɾiʃɔzɐmˈeɪŋtʃɪ
caracteristicamente	kˌaɾaktˌeɾistʃˌikɐmˈeɪŋtʃɪ	kˌaɾaktˌeɾistʃikɐmˈeɪŋtʃɪ
carateristicamente	kˌaɾatˌeɾistʃˌikɐmˈeɪŋtʃɪ	kˌaɾatˌeɾistʃikɐmˈeɪŋtʃɪ
caridosamente	kˌaɾidˌozɐmˈeɪŋtʃɪ	kˌaɾidɔzɐmˈeɪŋtʃɪ
carinhosamente	kˌaɾiɲˌozɐmˈeɪŋtʃɪ	kˌaɾiɲɔzɐmˈeɪŋtʃɪ
casamente	kˌazɐmˈeɪŋtʃɪ	kazɐmˈeɪŋtʃɪ
cautelosamente	kˌaʊtelˌozɐmˈeɪŋtʃɪ	kˌaʊtelɔzɐmˈeɪŋtʃɪ
cegamente	sˌeɡɐmˈeɪŋtʃɪ	sɛɡɐmˈeɪŋtʃɪ
celeremente	sˌeleɾemˈeɪŋtʃɪ	sˌeleɾɪmˈeɪŋtʃɪ
cerimoniosamente	sˌeɾimˌoniˌozɐmˈeɪŋtʃɪ	sˌeɾimˌoniɔzɐmˈeɪŋtʃɪ
certamente	sˌeɾtɐmˈeɪŋtʃɪ	sɛɾtɐmˈeɪŋtʃɪ
chorosamente	ʃˌoɾozɐmˈeɪŋtʃɪ	ʃˌoɾɔzɐmˈeɪŋtʃɪ
cilindricamente	sˌiliŋdɾˌikɐmˈeɪŋtʃɪ	sˌiliŋdɾikɐmˈeɪŋtʃɪ
ciosamente	sˌiozɐmˈeɪŋtʃɪ	sˌiɔzɐmˈeɪŋtʃɪ
circuladamente	sˌiɾkulˌadɐmˈeɪŋtʃɪ	sˌiɾkuladɐmˈeɪŋtʃɪ
cirurgicamente	sˌiɾuɾʒˌikɐmˈeɪŋtʃɪ	sˌiɾuɾʒikɐmˈeɪŋtʃɪ
clamorosamente	klˌɐmoɾˌozɐmˈeɪŋtʃɪ	klˌɐmoɾɔzɐmˈeɪŋtʃɪ
clandestinamente	klˌɐ̃ŋdestʃˌinɐmˈeɪŋtʃɪ	klˌɐ̃ŋdestʃinɐmˈeɪŋtʃɪ
claramente	klˌaɾɐmˈeɪŋtʃɪ	klaɾɐmˈeɪŋtʃɪ
climaticamente	klˌimatʃˌikɐmˈeɪŋtʃɪ	klˌimatʃikɐmˈeɪŋtʃɪ
coerentemente	kˌoeɾˌeɪŋtemˈeɪŋtʃɪ	kˌoeɾeɪŋtʃɪmˈeɪŋtʃɪ
cognitivamente	kˌoɡnitʃˌivɐmˈeɪŋtʃɪ	kˌoɡnitʃivɐmˈeɪŋtʃɪ
colericamente	kˌoleɾˌikɐmˈeɪŋtʃɪ	kˌoleɾikɐmˈeɪŋtʃɪ
coletivamente	kˌoletʃˌivɐmˈeɪŋtʃɪ	kˌoletʃivɐmˈeɪŋtʃɪ
comedidamente	kˌomedʒˌidɐmˈeɪŋtʃɪ	kˌomedʒidɐmˈeɪŋtʃɪ
comodamente	kˌomodɐmˈeɪŋtʃɪ	kˌomɔdɐmˈeɪŋtʃɪ
compassadamente	kˌompasˌadɐmˈeɪŋtʃɪ	kˌompasadɐmˈeɪŋtʃɪ
complacentemente	kˌomplasˌeɪŋtemˈeɪŋtʃɪ	kˌomplaseɪŋtʃɪmˈeɪŋtʃɪ
complemente	kˌomplemˈeɪŋtʃɪ	komplɪmˈeɪŋtʃɪ
completamente	kˌompletɐmˈeɪŋtʃɪ	kˌomplɛtɐmˈeɪŋtʃɪ
complexamente	kˌompleksɐmˈeɪŋtʃɪ	kˌomplɛksɐmˈeɪŋtʃɪ
comprovadamente	kˌompɾovˌadɐmˈeɪŋtʃɪ	kˌompɾovadɐmˈeɪŋtʃɪ
compulsivamente	kˌompuwsˌivɐmˈeɪŋtʃɪ	kˌompuwsivɐmˈeɪŋtʃɪ
comummente	kˌomũmmˈeɪŋtʃɪ	kˌomũŋmˈeɪŋtʃɪ
conceituosamente	kˌoŋseɪtwˌozɐmˈeɪŋtʃɪ	kˌoŋseɪtwɔzɐmˈeɪŋtʃɪ
concentricamente	kˌoŋseɪŋtɾˌikɐmˈeɪŋtʃɪ	kˌoŋseɪŋtɾikɐmˈeɪŋtʃɪ
concertadamente	kˌoŋseɾtˌadɐmˈeɪŋtʃɪ	kˌoŋseɾtadɐmˈeɪŋtʃɪ
conclusivamente	kˌoŋkluzˌivɐmˈeɪŋtʃɪ	kˌoŋkluzivɐmˈeɪŋtʃɪ
concomitantemente	kˌoŋkomˌitɐ̃ŋtemˈeɪŋtʃɪ	kˌoŋkomˌitɐ̃ŋtʃɪmˈeɪŋtʃɪ
concorrentemente	kˌoŋkoxˌeɪŋtemˈeɪŋtʃɪ	kˌoŋkoxeɪŋtʃɪmˈeɪŋtʃɪ
concretamente	kˌoŋkɾetɐmˈeɪŋtʃɪ	kˌoŋkɾɛtɐmˈeɪŋtʃɪ
confiadamente	kˌoŋfiˌadɐmˈeɪŋtʃɪ	kˌoŋfiadɐmˈeɪŋtʃɪ
conscienciosamente	kˌoŋsiˌeɪŋsiˌozɐmˈeɪŋtʃɪ	kˌoŋsiˌeɪŋsiɔzɐmˈeɪŋtʃɪ
conscientemente	kˌoŋsiˌeɪŋtemˈeɪŋtʃɪ	kˌoŋsieɪŋtʃɪmˈeɪŋtʃɪ
conseguintemente	kˌoŋseɡˌiŋtemˈeɪŋtʃɪ	kˌoŋseɡiŋtʃɪmˈeɪŋtʃɪ
conselheiramente	kˌoŋseʎˌeɪɾɐmˈeɪŋtʃɪ	kˌoŋseʎeɪɾɐmˈeɪŋtʃɪ
consequentemente	kˌoŋsekwˌeɪŋtemˈeɪŋtʃɪ	kˌoŋsekweɪŋtʃɪmˈeɪŋtʃɪ
conseqüentemente	kˌoŋsekwˌeɪŋtemˈeɪŋtʃɪ	kˌoŋsekweɪŋtʃɪmˈeɪŋtʃɪ
consistentemente	kˌoŋsistˌeɪŋtemˈeɪŋtʃɪ	kˌoŋsisteɪŋtʃɪmˈeɪŋtʃɪ
constantemente	kˌoŋstɐ̃ŋtemˈeɪŋtʃɪ	kˌoŋstɐ̃ŋtʃɪmˈeɪŋtʃɪ
construtivamente	kˌoŋstɾutʃˌivɐmˈeɪŋtʃɪ	kˌoŋstɾutʃivɐmˈeɪŋtʃɪ
contabilisticamente	kˌoŋtabˌilistʃˌikɐmˈeɪŋtʃɪ	kˌoŋtabˌilistʃikɐmˈeɪŋtʃɪ
contingentemente	kˌoŋtʃiŋʒˌeɪŋtemˈeɪŋtʃɪ	kˌoŋtʃiŋʒeɪŋtʃɪmˈeɪŋtʃɪ
continuamente	kˌoŋtʃinˌuɐmˈeɪŋtʃɪ	kˌoŋtʃinuɐmˈeɪŋtʃɪ
contraditoriamente	kˌoŋtɾadʒˌitoɾˌiɐmˈeɪŋtʃɪ	kˌoŋtɾadʒˌitoɾiɐmˈeɪŋtʃɪ
contrariamente	kˌoŋtɾaɾˌiɐmˈeɪŋtʃɪ	kˌoŋtɾaɾiɐmˈeɪŋtʃɪ
controladamente	kˌoŋtɾolˌadɐmˈeɪŋtʃɪ	kˌoŋtɾoladɐmˈeɪŋtʃɪ
convenientemente	kˌoŋvenˌieɪŋtemˈeɪŋtʃɪ	kˌoŋvenˌieɪŋtʃɪmˈeɪŋtʃɪ
convincentemente	kˌoŋviŋsˌeɪŋtemˈeɪŋtʃɪ	kˌoŋviŋseɪŋtʃɪmˈeɪŋtʃɪ
convulsivamente	kˌoŋvuwsˌivɐmˈeɪŋtʃɪ	kˌoŋvuwsivɐmˈeɪŋtʃɪ
copiosamente	kˌopiˌozɐmˈeɪŋtʃɪ	kˌopiɔzɐmˈeɪŋtʃɪ
corajosamente	kˌoɾaʒˌozɐmˈeɪŋtʃɪ	kˌoɾaʒɔzɐmˈeɪŋtʃɪ
correntemente	kˌoxeɪŋtemˈeɪŋtʃɪ	kˌoxeɪŋtʃɪmˈeɪŋtʃɪ
correspondentemente	kˌoxespˌoŋdeɪŋtemˈeɪŋtʃɪ	kˌoxespˌoŋdeɪŋtʃɪmˈeɪŋtʃɪ
corretamente	kˌoxetɐmˈeɪŋtʃɪ	kˌoxɛtɐmˈeɪŋtʃɪ
corriqueiramente	kˌoxikˌeɪɾɐmˈeɪŋtʃɪ	kˌoxikeɪɾɐmˈeɪŋtʃɪ
cotidianamente	kˌotʃidʒˌiɐnɐmˈeɪŋtʃɪ	kˌotʃidʒˌiɐ̃nɐmˈeɪŋtʃɪ
covardemente	kˌovaɾdemˈeɪŋtʃɪ	kˌovaɾdʒɪmˈeɪŋtʃɪ
crescentemente	kɾˌeseɪŋtemˈeɪŋtʃɪ	kɾˌeseɪŋtʃɪmˈeɪŋtʃɪ
criminosamente	kɾˌiminˌozɐmˈeɪŋtʃɪ	kɾˌiminɔzɐmˈeɪŋtʃɪ
criteriosamente	kɾˌiteɾˌiozɐmˈeɪŋtʃɪ	kɾˌiteɾˌiɔzɐmˈeɪŋtʃɪ
cromaticamente	kɾˌomatʃˌikɐmˈeɪŋtʃɪ	kɾˌomatʃikɐmˈeɪŋtʃɪ
cruamente	kɾˌuɐmˈeɪŋtʃɪ	kɾuɐmˈeɪŋtʃɪ
cuidadosamente	kˌuɪdadˌozɐmˈeɪŋtʃɪ	kˌuɪdadɔzɐmˈeɪŋtʃɪ
curiosamente	kˌuɾiˌozɐmˈeɪŋtʃɪ	kˌuɾiɔzɐmˈeɪŋtʃɪ
curtamente	kˌuɾtɐmˈeɪŋtʃɪ	kuɾtɐmˈeɪŋtʃɪ
decentemente	dˌeseɪŋtemˈeɪŋtʃɪ	dˌeseɪŋtʃɪmˈeɪŋtʃɪ
decididamente	dˌesidʒˌidɐmˈeɪŋtʃɪ	dˌesidʒidɐmˈeɪŋtʃɪ
decisivamente	dˌesizˌivɐmˈeɪŋtʃɪ	dˌesizivɐmˈeɪŋtʃɪ
declaradamente	dˌeklaɾˌadɐmˈeɪŋtʃɪ	dˌeklaɾadɐmˈeɪŋtʃɪ
decremente	dˌekɾemˈeɪŋtʃɪ	dɛkɾɪmˈeɪŋtʃɪ
dedicadamente	dˌedʒikˌadɐmˈeɪŋtʃɪ	dˌedʒikadɐmˈeɪŋtʃɪ
dedutivamente	dˌedutʃˌivɐmˈeɪŋtʃɪ	dˌedutʃivɐmˈeɪŋtʃɪ
defeituosamente	dˌefeɪtwˌozɐmˈeɪŋtʃɪ	dˌefeɪtwɔzɐmˈeɪŋtʃɪ
defensivamente	dˌefeɪŋsˌivɐmˈeɪŋtʃɪ	dˌefeɪŋsivɐmˈeɪŋtʃɪ
deficientemente	dˌefisˌieɪŋtemˈeɪŋtʃɪ	dˌefisˌieɪŋtʃɪmˈeɪŋtʃɪ
degradantemente	dˌeɡɾadˌɐ̃ŋtemˈeɪŋtʃɪ	dˌeɡɾadɐ̃ŋtʃɪmˈeɪŋtʃɪ
delegantemente	dˌeleɡˌɐ̃ŋtemˈeɪŋtʃɪ	dˌeleɡɐ̃ŋtʃɪmˈeɪŋtʃɪ
delicadamente	dˌelikˌadɐmˈeɪŋtʃɪ	dˌelikadɐmˈeɪŋtʃɪ
deliciosamente	dˌelisˌiozɐmˈeɪŋtʃɪ	dˌelisˌiɔzɐmˈeɪŋtʃɪ
delirantemente	dˌeliɾˌɐ̃ŋtemˈeɪŋtʃɪ	dˌeliɾɐ̃ŋtʃɪmˈeɪŋtʃɪ
demoradamente	dˌemoɾˌadɐmˈeɪŋtʃɪ	dˌemoɾadɐmˈeɪŋtʃɪ
densamente	dˌeɪŋsɐmˈeɪŋtʃɪ	deɪŋsɐmˈeɪŋtʃɪ
desabridamente	dˌezabɾˌidɐmˈeɪŋtʃɪ	dˌezabɾidɐmˈeɪŋtʃɪ
desaceleradamente	dˌezasˌeleɾˌadɐmˈeɪŋtʃɪ	dˌezasˌeleɾadɐmˈeɪŋtʃɪ
desacentuadamente	dˌezasˌeɪŋtuˌadɐmˈeɪŋtʃɪ	dˌezasˌeɪŋtuadɐmˈeɪŋtʃɪ
desalmadamente	dˌezaʊmˌadɐmˈeɪŋtʃɪ	dˌezaʊmadɐmˈeɪŋtʃɪ
desapaixonadamente	dˌezapˌaɪʃonˌadɐmˈeɪŋtʃɪ	dˌezapˌaɪʃonadɐmˈeɪŋtʃɪ
desapropriadamente	dˌezapɾˌopɾiˌadɐmˈeɪŋtʃɪ	dˌezapɾˌopɾiadɐmˈeɪŋtʃɪ
desarmoniosamente	dˌezaɾmˌoniˌozɐmˈeɪŋtʃɪ	dˌezaɾmˌoniɔzɐmˈeɪŋtʃɪ
desarticuladamente	dˌezaɾtʃˌikulˌadɐmˈeɪŋtʃɪ	dˌezaɾtʃˌikuladɐmˈeɪŋtʃɪ
desastradamente	dˌezastɾˌadɐmˈeɪŋtʃɪ	dˌezastɾadɐmˈeɪŋtʃɪ
desatenciosamente	dˌezatˌeɪŋsiˌozɐmˈeɪŋtʃɪ	dˌezatˌeɪŋsiɔzɐmˈeɪŋtʃɪ
descabidamente	dˌeskabˌidɐmˈeɪŋtʃɪ	dˌeskabidɐmˈeɪŋtʃɪ
descansadamente	dˌeskɐ̃ŋsˌadɐmˈeɪŋtʃɪ	dˌeskɐ̃ŋsadɐmˈeɪŋtʃɪ
descaradamente	dˌeskaɾˌadɐmˈeɪŋtʃɪ	dˌeskaɾadɐmˈeɪŋtʃɪ
descontinuadamente	dˌeskoŋtʃˌinuˌadɐmˈeɪŋtʃɪ	dˌeskoŋtʃˌinuadɐmˈeɪŋtʃɪ
descontraidamente	dˌeskoŋtɾˌaɪdɐmˈeɪŋtʃɪ	dˌeskoŋtɾaɪdɐmˈeɪŋtʃɪ
descuidadamente	dˌeskuɪdˌadɐmˈeɪŋtʃɪ	dˌeskuɪdadɐmˈeɪŋtʃɪ
descuidadosamente	dˌeskuɪdˌadozɐmˈeɪŋtʃɪ	dˌeskuɪdˌadɔzɐmˈeɪŋtʃɪ
descuradamente	dˌeskuɾˌadɐmˈeɪŋtʃɪ	dˌeskuɾadɐmˈeɪŋtʃɪ
desdenhosamente	dˌezdeɲˌozɐmˈeɪŋtʃɪ	dˌezdeɲɔzɐmˈeɪŋtʃɪ
desenvergonhadamente	dˌezeɪŋvˌeɾɡoɲˌadɐmˈeɪŋtʃɪ	dˌezeɪŋvˌeɾɡoɲadɐmˈeɪŋtʃɪ
desequilibradamente	dˌezekˌilibɾˌadɐmˈeɪŋtʃɪ	dˌezekˌilibɾadɐmˈeɪŋtʃɪ
desgraçadamente	dˌezɡɾasˌadɐmˈeɪŋtʃɪ	dˌezɡɾasadɐmˈeɪŋtʃɪ
desgraciosamente	dˌezɡɾasˌiozɐmˈeɪŋtʃɪ	dˌezɡɾasˌiɔzɐmˈeɪŋtʃɪ
designadamente	dˌeziɡnˌadɐmˈeɪŋtʃɪ	dˌeziɡnadɐmˈeɪŋtʃɪ
desinchadamente	dˌeziŋʃˌadɐmˈeɪŋtʃɪ	dˌeziŋʃadɐmˈeɪŋtʃɪ
desinteressadamente	dˌeziŋtˌeɾesˌadɐmˈeɪŋtʃɪ	dˌeziŋtˌeɾesadɐmˈeɪŋtʃɪ
desinteresseiramente	dˌeziŋtˌeɾesˌeɪɾɐmˈeɪŋtʃɪ	dˌeziŋtˌeɾeseɪɾɐmˈeɪŋtʃɪ
desleixadamente	dˌezleɪʃˌadɐmˈeɪŋtʃɪ	dˌezleɪʃadɐmˈeɪŋtʃɪ
desmarcadamente	dˌezmaɾkˌadɐmˈeɪŋtʃɪ	dˌezmaɾkadɐmˈeɪŋtʃɪ
desmedidamente	dˌezmedʒˌidɐmˈeɪŋtʃɪ	dˌezmedʒidɐmˈeɪŋtʃɪ
desnecessariamente	dˌeznesˌesaɾˌiɐmˈeɪŋtʃɪ	dˌeznesˌesaɾiɐmˈeɪŋtʃɪ
