aberrantemente	ˌabexˌɐ̃ŋtemˈeɪŋtʃɪ	ˌabexɐ̃ŋtʃɪmˈeɪŋtʃɪ
agradavelmente	ˌaɡɾadˌavɛʊmˈeɪŋtʃɪ	ˌaɡɾadˌavɛʊmˈeɪŋtʃɪ
agradecidamente	ˌaɡɾadˌesidɐmˈeɪŋtʃɪ	ˌaɡɾadˌesidɐmˈeɪŋtʃɪ
agressivamente	ˌaɡɾesˌivɐmˈeɪŋtʃɪ	ˌaɡɾesivɐmˈeɪŋtʃɪ
agudamente	ˌaɡudɐmˈeɪŋtʃɪ	ˌaɡudɐmˈeɪŋtʃɪ
airosamente	ˌaɪɾozɐmˈeɪŋtʃɪ	ˌaɪɾɔzɐmˈeɪŋtʃɪ
ajuramente	ˌaʒuɾɐmˈeɪŋtʃɪ	ˌaʒuɾɐmˈeɪŋtʃɪ
aleatoriamente	ˌaleˌatoɾˌiɐmˈeɪŋtʃɪ	ˌaleˌatoɾiɐmˈeɪŋtʃɪ
alegadamente	ˌaleɡˌadɐmˈeɪŋtʃɪ	ˌaleɡadɐmˈeɪŋtʃɪ
alegoricamente	ˌaleɡˌoɾikɐmˈeɪŋtʃɪ	ˌaleɡˌoɾikɐmˈeɪŋtʃɪ
alegremente	ˌaleɡɾemˈeɪŋtʃɪ	ˌalɛɡɾɪmˈeɪŋtʃɪ
alentadamente	ˌaleɪŋtˌadɐmˈeɪŋtʃɪ	ˌaleɪŋtadɐmˈeɪŋtʃɪ
alfabeticamente	ˌaʊfabˌetʃikɐmˈeɪŋtʃɪ	ˌaʊfabˌetʃikɐmˈeɪŋtʃɪ
algebricamente	ˌaʊʒebɾˌikɐmˈeɪŋtʃɪ	ˌaʊʒebɾikɐmˈeɪŋtʃɪ
alimente	ˌalimˈeɪŋtʃɪ	ˌalimˈeɪŋtʃɪ
altamente	ˌaʊtɐmˈeɪŋtʃɪ	aʊtɐmˈeɪŋtʃɪ
alternadamente	ˌaʊteɾnˌadɐmˈeɪŋtʃɪ	ˌaʊteɾnadɐmˈeɪŋtʃɪ
alternativamente	ˌaʊteɾnˌatʃivɐmˈeɪŋtʃɪ	ˌaʊteɾnˌatʃivɐmˈeɪŋtʃɪ
altivamente	ˌaʊtʃivɐmˈeɪŋtʃɪ	ˌaʊtʃivɐmˈeɪŋtʃɪ
aluadamente	ˌaluˌadɐmˈeɪŋtʃɪ	ˌaluadɐmˈeɪŋtʃɪ
alucinadamente	ˌalusˌinadɐmˈeɪŋtʃɪ	ˌalusˌinadɐmˈeɪŋtʃɪ
alucinadoramente	ˌalusˌinadˌoɾɐmˈeɪŋtʃɪ	ˌalusˌinadoɾɐmˈeɪŋtʃɪ
amadamente	ˌɐmadɐmˈeɪŋtʃɪ	ˌɐmadɐmˈeɪŋtʃɪ
amamente	ˌɐmɐmˈeɪŋtʃɪ	ɐ̃mɐmˈeɪŋtʃɪ
amargamente	ˌɐmaɾɡɐmˈeɪŋtʃɪ	ˌɐmaɾɡɐmˈeɪŋtʃɪ
amarguradamente	ˌɐmaɾɡˌuɾadɐmˈeɪŋtʃɪ	ˌɐmaɾɡˌuɾadɐmˈeɪŋtʃɪ
amavelmente	ˌɐmavɛʊmˈeɪŋtʃɪ	ˌɐmavɛʊmˈeɪŋtʃɪ
ambientalmente	ˌɐ̃mbiˌeɪŋtaʊmˈeɪŋtʃɪ	ˌɐ̃mbiˌeɪŋtaʊmˈeɪŋtʃɪ
ambiguamente	ˌɐ̃mbiɡwɐmˈeɪŋtʃɪ	ˌɐ̃mbiɡwɐmˈeɪŋtʃɪ
ameaçadoramente	ˌɐmeˌasadˌoɾɐmˈeɪŋtʃɪ	ˌɐmeˌasadoɾɐmˈeɪŋtʃɪ
amenamente	ˌɐmenɐmˈeɪŋtʃɪ	ˌɐmenɐmˈeɪŋtʃɪ
amigavelmente	ˌɐmiɡˌavɛʊmˈeɪŋtʃɪ	ˌɐmiɡˌavɛʊmˈeɪŋtʃɪ
amoravelmente	ˌɐmoɾˌavɛʊmˈeɪŋtʃɪ	ˌɐmoɾˌavɛʊmˈeɪŋtʃɪ
amorosamente	ˌɐmoɾˌozɐmˈeɪŋtʃɪ	ˌɐmoɾɔzɐmˈeɪŋtʃɪ
amparadamente	ˌɐ̃mpaɾˌadɐmˈeɪŋtʃɪ	ˌɐ̃mpaɾadɐmˈeɪŋtʃɪ
amplamente	ˌɐ̃mplɐmˈeɪŋtʃɪ	ɐ̃mplɐmˈeɪŋtʃɪ
analiticamente	ˌɐnalˌitʃikɐmˈeɪŋtʃɪ	ˌɐnalˌitʃikɐmˈeɪŋtʃɪ
analogamente	ˌɐnalˌoɡɐmˈeɪŋtʃɪ	ˌɐnalɔɡɐmˈeɪŋtʃɪ
analogicamente	ˌɐnalˌoʒikɐmˈeɪŋtʃɪ	ˌɐnalˌoʒikɐmˈeɪŋtʃɪ
ancestralmente	ˌɐ̃ŋsestɾaʊmˈeɪŋtʃɪ	ˌɐ̃ŋsestɾaʊmˈeɪŋtʃɪ
angustiadamente	ˌɐ̃ŋɡustʃˌiadɐmˈeɪŋtʃɪ	ˌɐ̃ŋɡustʃˌiadɐmˈeɪŋtʃɪ
angustiantemente	ˌɐ̃ŋɡustʃˌiɐ̃ŋtemˈeɪŋtʃɪ	ˌɐ̃ŋɡustʃˌiɐ̃ŋtʃɪmˈeɪŋtʃɪ
angustiosamente	ˌɐ̃ŋɡustʃˌiozɐmˈeɪŋtʃɪ	ˌɐ̃ŋɡustʃˌiɔzɐmˈeɪŋtʃɪ
animadamente	ˌɐnimˌadɐmˈeɪŋtʃɪ	ˌɐnimadɐmˈeɪŋtʃɪ
anonimamente	ˌɐnonˌimɐmˈeɪŋtʃɪ	ˌɐnonimɐmˈeɪŋtʃɪ
anormalmente	ˌɐnoɾmaʊmˈeɪŋtʃɪ	ˌɐnoɾmaʊmˈeɪŋtʃɪ
ansiosamente	ˌɐ̃ŋsiˌozɐmˈeɪŋtʃɪ	ˌɐ̃ŋsiɔzɐmˈeɪŋtʃɪ
antecipadamente	ˌɐ̃ŋtesˌipadɐmˈeɪŋtʃɪ	ˌɐ̃ŋtesˌipadɐmˈeɪŋtʃɪ
anteriormente	ˌɐ̃ŋteɾˌioɾmˈeɪŋtʃɪ	ˌɐ̃ŋteɾˌioɾmˈeɪŋtʃɪ
antidemocraticamente	ˌɐ̃ŋtʃidˌemokɾˌatʃikɐmˈeɪŋtʃɪ	ˌɐ̃ŋtʃidˌemokɾˌatʃikɐmˈeɪŋtʃɪ
antidesportivamente	ˌɐ̃ŋtʃidˌespoɾtʃˌivɐmˈeɪŋtʃɪ	ˌɐ̃ŋtʃidˌespoɾtʃivɐmˈeɪŋtʃɪ
antigamente	ˌɐ̃ŋtʃiɡɐmˈeɪŋtʃɪ	ˌɐ̃ŋtʃiɡɐmˈeɪŋtʃɪ
anti-higienicamente	ɐ̃ŋtʃˈiˌiʒiˌenikɐmˈeɪŋtʃɪ	ɐ̃ŋtʃˈiˌiʒiˌenikɐmˈeɪŋtʃɪ
anti-imperialmente	ɐ̃ŋtʃˈiˌimpeɾˌiaʊmˈeɪŋtʃɪ	ɐ̃ŋtʃˈiˌimpeɾˌiaʊmˈeɪŋtʃɪ
antiliberalmente	ˌɐ̃ŋtʃilˌibeɾaʊmˈeɪŋtʃɪ	ˌɐ̃ŋtʃilˌibeɾaʊmˈeɪŋtʃɪ
antipessoalmente	ˌɐ̃ŋtʃipˌesoaʊmˈeɪŋtʃɪ	ˌɐ̃ŋtʃipˌesoaʊmˈeɪŋtʃɪ
antirregulamente	ˌɐ̃ŋtʃixˌeɡulɐmˈeɪŋtʃɪ	ˌɐ̃ŋtʃixˌeɡulɐmˈeɪŋtʃɪ
antirreligiosamente	ˌɐ̃ŋtʃixˌeliʒˌiozɐmˈeɪŋtʃɪ	ˌɐ̃ŋtʃixˌeliʒˌiɔzɐmˈeɪŋtʃɪ
antirrevolucionariamente	ˌɐ̃ŋtʃixˌevolˌusɪˌonaɾˌiɐmˈeɪŋtʃɪ	ˌɐ̃ŋtʃixˌevolˌusɪˌonaɾiɐmˈeɪŋtʃɪ
antissocialmente	ˌɐ̃ŋtʃisˌosiaʊmˈeɪŋtʃɪ	ˌɐ̃ŋtʃisˌosiaʊmˈeɪŋtʃɪ
anualmente	ˌɐnuaʊmˈeɪŋtʃɪ	ˌɐnuaʊmˈeɪŋtʃɪ
apaixonadamente	ˌapaɪʃˌonadɐmˈeɪŋtʃɪ	ˌapaɪʃˌonadɐmˈeɪŋtʃɪ
aparentemente	ˌapaɾˌeɪŋtemˈeɪŋtʃɪ	ˌapaɾeɪŋtʃɪmˈeɪŋtʃɪ
apaticamente	ˌapatʃˌikɐmˈeɪŋtʃɪ	ˌapatʃikɐmˈeɪŋtʃɪ
apertadamente	ˌapeɾtˌadɐmˈeɪŋtʃɪ	ˌapeɾtadɐmˈeɪŋtʃɪ
apimente	ˌapimˈeɪŋtʃɪ	ˌapimˈeɪŋtʃɪ
aplicadamente	ˌaplikˌadɐmˈeɪŋtʃɪ	ˌaplikadɐmˈeɪŋtʃɪ
apreciavelmente	ˌapɾesˌiavɛʊmˈeɪŋtʃɪ	ˌapɾesˌiavɛʊmˈeɪŋtʃɪ
apressadamente	ˌapɾesˌadɐmˈeɪŋtʃɪ	ˌapɾesadɐmˈeɪŋtʃɪ
aprofundadamente	ˌapɾofˌũŋdadɐmˈeɪŋtʃɪ	ˌapɾofˌũŋdadɐmˈeɪŋtʃɪ
apropriadamente	ˌapɾopɾˌiadɐmˈeɪŋtʃɪ	ˌapɾopɾˌiadɐmˈeɪŋtʃɪ
aproximadamente	ˌapɾosˌimadɐmˈeɪŋtʃɪ	ˌapɾosˌimadɐmˈeɪŋtʃɪ
arbitrariamente	ˌaɾbitɾˌaɾiɐmˈeɪŋtʃɪ	ˌaɾbitɾˌaɾiɐmˈeɪŋtʃɪ
ardentemente	ˌaɾdeɪŋtemˈeɪŋtʃɪ	ˌaɾdeɪŋtʃɪmˈeɪŋtʃɪ
ardilosamente	ˌaɾdʒilˌozɐmˈeɪŋtʃɪ	ˌaɾdʒilɔzɐmˈeɪŋtʃɪ
arduamente	ˌaɾduɐmˈeɪŋtʃɪ	ˌaɾduɐmˈeɪŋtʃɪ
argumentativamente	ˌaɾɡumˌeɪŋtatʃˌivɐmˈeɪŋtʃɪ	ˌaɾɡumˌeɪŋtatʃivɐmˈeɪŋtʃɪ
argumente	ˌaɾɡumˈeɪŋtʃɪ	ˌaɾɡumˈeɪŋtʃɪ
aridamente	ˌaɾidɐmˈeɪŋtʃɪ	ˌaɾidɐmˈeɪŋtʃɪ
arrebatadamente	ˌaxebˌatadɐmˈeɪŋtʃɪ	ˌaxebˌatadɐmˈeɪŋtʃɪ
arregimente	ˌaxeʒimˈeɪŋtʃɪ	ˌaxeʒimˈeɪŋtʃɪ
arrependidamente	ˌaxepˌeɪŋdʒidɐmˈeɪŋtʃɪ	ˌaxepˌeɪŋdʒidɐmˈeɪŋtʃɪ
arrevesadamente	ˌaxevˌezadɐmˈeɪŋtʃɪ	ˌaxevˌezadɐmˈeɪŋtʃɪ
arriscadamente	ˌaxiskˌadɐmˈeɪŋtʃɪ	ˌaxiskadɐmˈeɪŋtʃɪ
arrogantemente	ˌaxoɡˌɐ̃ŋtemˈeɪŋtʃɪ	ˌaxoɡɐ̃ŋtʃɪmˈeɪŋtʃɪ
arrojadamente	ˌaxoʒˌadɐmˈeɪŋtʃɪ	ˌaxoʒadɐmˈeɪŋtʃɪ
artesanalmente	ˌaɾtezˌɐnaʊmˈeɪŋtʃɪ	ˌaɾtezˌɐ̃naʊmˈeɪŋtʃɪ
articuladamente	ˌaɾtʃikˌuladɐmˈeɪŋtʃɪ	ˌaɾtʃikˌuladɐmˈeɪŋtʃɪ
articularmente	ˌaɾtʃikˌulaɾmˈeɪŋtʃɪ	ˌaɾtʃikˌulaɾmˈeɪŋtʃɪ
artificialmente	ˌaɾtʃifˌisiaʊmˈeɪŋtʃɪ	ˌaɾtʃifˌisiaʊmˈeɪŋtʃɪ
artisticamente	ˌaɾtʃistʃˌikɐmˈeɪŋtʃɪ	ˌaɾtʃistʃikɐmˈeɪŋtʃɪ
asperamente	ˌaspeɾɐmˈeɪŋtʃɪ	ˌaspɛɾɐmˈeɪŋtʃɪ
asseadamente	ˌaseˌadɐmˈeɪŋtʃɪ	ˌaseadɐmˈeɪŋtʃɪ
assertivamente	ˌaseɾtʃˌivɐmˈeɪŋtʃɪ	ˌaseɾtʃivɐmˈeɪŋtʃɪ
assiduamente	ˌasidˌuɐmˈeɪŋtʃɪ	ˌasiduɐmˈeɪŋtʃɪ
assincronamente	ˌasiŋkɾˌonɐmˈeɪŋtʃɪ	ˌasiŋkɾonɐmˈeɪŋtʃɪ
assintaticamente	ˌasiŋtˌatʃikɐmˈeɪŋtʃɪ	ˌasiŋtˌatʃikɐmˈeɪŋtʃɪ
assistematicamente	ˌasistˌematʃˌikɐmˈeɪŋtʃɪ	ˌasistˌematʃikɐmˈeɪŋtʃɪ
assumidamente	ˌasumˌidɐmˈeɪŋtʃɪ	ˌasumidɐmˈeɪŋtʃɪ
assustadoramente	ˌasustˌadoɾɐmˈeɪŋtʃɪ	ˌasustˌadoɾɐmˈeɪŋtʃɪ
astronomicamente	ˌastɾonˌomikɐmˈeɪŋtʃɪ	ˌastɾonˌomikɐmˈeɪŋtʃɪ
astuciosamente	ˌastusˌiozɐmˈeɪŋtʃɪ	ˌastusˌiɔzɐmˈeɪŋtʃɪ
astutamente	ˌastutɐmˈeɪŋtʃɪ	ˌastutɐmˈeɪŋtʃɪ
atabalhoadamente	ˌatabˌaʎoˌadɐmˈeɪŋtʃɪ	ˌatabˌaʎoadɐmˈeɪŋtʃɪ
atempadamente	ˌateɪmpˌadɐmˈeɪŋtʃɪ	ˌateɪmpadɐmˈeɪŋtʃɪ
atenciosamente	ˌateɪŋsˌiozɐmˈeɪŋtʃɪ	ˌateɪŋsˌiɔzɐmˈeɪŋtʃɪ
atentamente	ˌateɪŋtɐmˈeɪŋtʃɪ	ˌateɪŋtɐmˈeɪŋtʃɪ
ativamente	ˌatʃivɐmˈeɪŋtʃɪ	ˌatʃivɐmˈeɪŋtʃɪ
atormente	ˌatoɾmˈeɪŋtʃɪ	ˌatoɾmˈeɪŋtʃɪ
atrevidamente	ˌatɾevˌidɐmˈeɪŋtʃɪ	ˌatɾevidɐmˈeɪŋtʃɪ
atrofiarmente	ˌatɾofˌiaɾmˈeɪŋtʃɪ	ˌatɾofˌiaɾmˈeɪŋtʃɪ
atropeladamente	ˌatɾopˌeladɐmˈeɪŋtʃɪ	ˌatɾopˌeladɐmˈeɪŋtʃɪ
atualmente	ˌatuaʊmˈeɪŋtʃɪ	ˌatuaʊmˈeɪŋtʃɪ
audaciosamente	ˌaʊdasˌiozɐmˈeɪŋtʃɪ	ˌaʊdasˌiɔzɐmˈeɪŋtʃɪ
audazmente	ˌaʊdazmˈeɪŋtʃɪ	ˌaʊdasmˈeɪŋtʃɪ
aumente	ˌaʊmˈeɪŋtʃɪ	ˌaʊmˈeɪŋtʃɪ
autenticamente	ˌaʊteɪŋtʃˌikɐmˈeɪŋtʃɪ	ˌaʊteɪŋtʃikɐmˈeɪŋtʃɪ
autocraticamente	ˌaʊtokɾˌatʃikɐmˈeɪŋtʃɪ	ˌaʊtokɾˌatʃikɐmˈeɪŋtʃɪ
automaticamente	ˌaʊtomˌatʃikɐmˈeɪŋtʃɪ	ˌaʊtomˌatʃikɐmˈeɪŋtʃɪ
autonomamente	ˌaʊtonˌomɐmˈeɪŋtʃɪ	ˌaʊtonomɐmˈeɪŋtʃɪ
avaramente	ˌavaɾɐmˈeɪŋtʃɪ	ˌavaɾɐmˈeɪŋtʃɪ
aventureiramente	ˌaveɪŋtˌuɾeɪɾɐmˈeɪŋtʃɪ	ˌaveɪŋtˌuɾeɪɾɐmˈeɪŋtʃɪ
aventurosamente	ˌaveɪŋtˌuɾozɐmˈeɪŋtʃɪ	ˌaveɪŋtˌuɾɔzɐmˈeɪŋtʃɪ
avessamente	ˌavesɐmˈeɪŋtʃɪ	ˌavɛsɐmˈeɪŋtʃɪ
avidamente	ˌavidɐmˈeɪŋtʃɪ	ˌavidɐmˈeɪŋtʃɪ
axiomaticamente	ˌaksiˌomatʃˌikɐmˈeɪŋtʃɪ	ˌaksiˌomatʃikɐmˈeɪŋtʃɪ
azaradamente	ˌazaɾˌadɐmˈeɪŋtʃɪ	ˌazaɾadɐmˈeɪŋtʃɪ
azedamente	ˌazedɐmˈeɪŋtʃɪ	ˌazedɐmˈeɪŋtʃɪ
banalmente	bˌɐnaʊmˈeɪŋtʃɪ	bˌɐ̃naʊmˈeɪŋtʃɪ
barbaramente	bˌaɾbaɾɐmˈeɪŋtʃɪ	bˌaɾbaɾɐmˈeɪŋtʃɪ
basicamente	bˌazikɐmˈeɪŋtʃɪ	bˌazikɐmˈeɪŋtʃɪ
belamente	bˌelɐmˈeɪŋtʃɪ	bɛlɐmˈeɪŋtʃɪ
beneficamente	bˌenefˌikɐmˈeɪŋtʃɪ	bˌenefikɐmˈeɪŋtʃɪ
bestialmente	bˌestʃiaʊmˈeɪŋtʃɪ	bˌestʃiaʊmˈeɪŋtʃɪ
bienalmente	bˌienaʊmˈeɪŋtʃɪ	bˌienaʊmˈeɪŋtʃɪ
bilateralmente	bˌilatˌeɾaʊmˈeɪŋtʃɪ	bˌilatˌeɾaʊmˈeɪŋtʃɪ
biologicamente	bˌiolˌoʒikɐmˈeɪŋtʃɪ	bˌiolˌoʒikɐmˈeɪŋtʃɪ
biunivocamente	bjˌunivˌokɐmˈeɪŋtʃɪ	bjˌunivɔkɐmˈeɪŋtʃɪ
boamente	bˌoɐmˈeɪŋtʃɪ	boɐmˈeɪŋtʃɪ
bondosamente	bˌoŋdozɐmˈeɪŋtʃɪ	bˌoŋdɔzɐmˈeɪŋtʃɪ
brandamente	bɾˌɐ̃ŋdɐmˈeɪŋtʃɪ	bɾɐ̃ŋdɐmˈeɪŋtʃɪ
bravamente	bɾˌavɐmˈeɪŋtʃɪ	bɾavɐmˈeɪŋtʃɪ
brevemente	bɾˌevemˈeɪŋtʃɪ	bɾɛvɪmˈeɪŋtʃɪ
brilhantemente	bɾˌiʎɐ̃ŋtemˈeɪŋtʃɪ	bɾˌiʎɐ̃ŋtʃɪmˈeɪŋtʃɪ
bruscamente	bɾˌuskɐmˈeɪŋtʃɪ	bɾuskɐmˈeɪŋtʃɪ
brutalmente	bɾˌutaʊmˈeɪŋtʃɪ	bɾˌutaʊmˈeɪŋtʃɪ
burocraticamente	bˌuɾokɾˌatʃikɐmˈeɪŋtʃɪ	bˌuɾokɾˌatʃikɐmˈeɪŋtʃɪ
cabalmente	kˌabaʊmˈeɪŋtʃɪ	kˌabaʊmˈeɪŋtʃɪ
caladamente	kˌaladɐmˈeɪŋtʃɪ	kˌaladɐmˈeɪŋtʃɪ
calculadamente	kˌaʊkulˌadɐmˈeɪŋtʃɪ	kˌaʊkuladɐmˈeɪŋtʃɪ
calmamente	kˌaʊmɐmˈeɪŋtʃɪ	kaʊmɐmˈeɪŋtʃɪ
calorosamente	kˌaloɾˌozɐmˈeɪŋtʃɪ	kˌaloɾɔzɐmˈeɪŋtʃɪ
candidamente	kˌɐ̃ŋdʒidɐmˈeɪŋtʃɪ	kˌɐ̃ŋdʒidɐmˈeɪŋtʃɪ
canonicamente	kˌɐnonˌikɐmˈeɪŋtʃɪ	kˌɐnonikɐmˈeɪŋtʃɪ
capazmente	kˌapazmˈeɪŋtʃɪ	kˌapasmˈeɪŋtʃɪ
caprichosamente	kˌapɾiʃˌozɐmˈeɪŋtʃɪ	kˌapɾiʃɔzɐmˈeɪŋtʃɪ
caracteristicamente	kˌaɾaktˌeɾistʃˌikɐmˈeɪŋtʃɪ	kˌaɾaktˌeɾistʃikɐmˈeɪŋtʃɪ
carateristicamente	kˌaɾatˌeɾistʃˌikɐmˈeɪŋtʃɪ	kˌaɾatˌeɾistʃikɐmˈeɪŋtʃɪ
caridosamente	kˌaɾidˌozɐmˈeɪŋtʃɪ	kˌaɾidɔzɐmˈeɪŋtʃɪ
carinhosamente	kˌaɾiɲˌozɐmˈeɪŋtʃɪ	kˌaɾiɲɔzɐmˈeɪŋtʃɪ
carismaticamente	kˌaɾizmˌatʃikɐmˈeɪŋtʃɪ	kˌaɾizmˌatʃikɐmˈeɪŋtʃɪ
casamente	kˌazɐmˈeɪŋtʃɪ	kazɐmˈeɪŋtʃɪ
casualmente	kˌazuaʊmˈeɪŋtʃɪ	kˌazuaʊmˈeɪŋtʃɪ
catastroficamente	kˌatastɾˌofikɐmˈeɪŋtʃɪ	kˌatastɾˌofikɐmˈeɪŋtʃɪ
categorialmente	kˌateɡˌoɾiaʊmˈeɪŋtʃɪ	kˌateɡˌoɾiaʊmˈeɪŋtʃɪ
categoricamente	kˌateɡˌoɾikɐmˈeɪŋtʃɪ	kˌateɡˌoɾikɐmˈeɪŋtʃɪ
causalmente	kˌaʊzaʊmˈeɪŋtʃɪ	kˌaʊzaʊmˈeɪŋtʃɪ
cautelosamente	kˌaʊtelˌozɐmˈeɪŋtʃɪ	kˌaʊtelɔzɐmˈeɪŋtʃɪ
cegamente	sˌeɡɐmˈeɪŋtʃɪ	sɛɡɐmˈeɪŋtʃɪ
celeremente	sˌeleɾemˈeɪŋtʃɪ	sˌeleɾɪmˈeɪŋtʃɪ
centralmente	sˌeɪŋtɾaʊmˈeɪŋtʃɪ	sˌeɪŋtɾaʊmˈeɪŋtʃɪ
centuplicadamente	sˌeɪŋtuplˌikadɐmˈeɪŋtʃɪ	sˌeɪŋtuplˌikadɐmˈeɪŋtʃɪ
cerimoniosamente	sˌeɾimˌoniˌozɐmˈeɪŋtʃɪ	sˌeɾimˌoniɔzɐmˈeɪŋtʃɪ
certamente	sˌeɾtɐmˈeɪŋtʃɪ	sɛɾtɐmˈeɪŋtʃɪ
chocadamente	ʃˌokadɐmˈeɪŋtʃɪ	ʃˌokadɐmˈeɪŋtʃɪ
chorosamente	ʃˌoɾozɐmˈeɪŋtʃɪ	ʃˌoɾɔzɐmˈeɪŋtʃɪ
chorudamente	ʃˌoɾudɐmˈeɪŋtʃɪ	ʃˌoɾudɐmˈeɪŋtʃɪ
ciclicamente	sˌiklikɐmˈeɪŋtʃɪ	sˌiklikɐmˈeɪŋtʃɪ
cientificamente	sˌieɪŋtʃˌifikɐmˈeɪŋtʃɪ	sˌieɪŋtʃˌifikɐmˈeɪŋtʃɪ
